Address,Zip Code,Value,SQFT,Price Per SQFT,Number of Bedrooms,Number of Bathrooms,Number of Full Bathrooms,Year Built,Heating,Cooling,Parking,Type,Has Garage,Number of Stories,HOA Fee
780 S Federal St APT 302,60605,300000,1207,249,3,2,2,1913,Forced air: Electric,Central,Garage - Attached: Covered,Condo,null,9,642
1649 N Vine St,60614,675000,1424,474,3,3,2,1976,Forced air: Gas,Central,Garage - Detached: Covered,Townhouse,null,2,126
3406 N Marshfield Ave,60657,649900,1974,329,5,3,3,1903,Forced air: Gas,Central,Garage - Detached: Covered,Multiple Occupancy,null,null,null
3118 N Lincoln Ave APT 4A,60657,550000,1700,324,3,2,2,1999,Forced air: Gas,Central,Garage - Attached: Covered,Condo,null,4,268
10735 S Church St,60643,249900,2400,104,4,3,2,1915,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,2,null
1643 N Bell Ave,60647,700000,2500,280,4,3,3,1894,Gas,null,Garage - Detached: Covered,Single Family,null,null,null
3014 W 107th St,60655,119900,1000,120,3,2,null,1957,Gas,Central,None,Single Family,No,null,null
557 W Fullerton Pkwy APT 1E,60614,325000,null,NaN,2,1,1,null,Radiant,null,None,Condo,No,3,362
1325 N State Pkwy APT 5D,60610,315000,950,332,1,1,1,1969,Forced air: Gas,Central,Garage - Attached: Covered,Condo,null,9,522
2700 W Bryn Mawr Ave UNIT B,60659,425000,2090,203,3,3,2,2000,Forced air: Gas,Central,Garage - Attached: Covered,Townhouse,null,3,165
5454 S Kimbark Ave #3E,60615,150000,800,188,2,1,1,null,Gas,null,None,Condo,No,3,485
1645 N Oakley Ave APT 2,60647,399999,null,NaN,3,2,2,1999,Forced air: Gas,Central,Garage - Detached: Covered,Condo,null,3,120
2036 N Sedgwick St UNIT D,60614,589900,1600,369,2,3,2,1996,Gas,Central,Garage - Attached: Covered,Condo,null,2,378
2644 N Wayne Ave #E,60614,449500,1500,300,3,2,1,1984,Forced air: Gas,Central,Covered,Townhouse,null,2,100
5130 S Mayfield Ave,60638,349900,1800,194,4,2,2,1945,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
4201 W Melrose St,60641,350000,2000,175,4,3,3,1919,Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
3042 W Belmont Ave,60618,285000,null,NaN,4,2,2,1900,Gas,Central,Garage - Detached: Covered,Multiple Occupancy,null,null,null
4440 N Damen Ave APT 3E,60625,222000,950,234,2,1,1,1925,Forced air: Gas,Central,Garage - Detached: Covered,Condo,null,4,280
1609 W Belle Plaine Ave #2,60613,399000,1300,307,3,2,1,2014,Forced air: Gas,Central,None,Condo,No,2,100
2300 W Granville Ave #3,60659,215000,1900,113,4,2,2,1928,Other,Central,None,Condo,No,3,460
